time,supi,location_type,duration,time_of_day,NrCellId
2025-01-17 12:00:27,208930000000004,restaurant1,3600,lunch,000000030
2025-01-17 12:33:48,208930000000004,restaurant2,3600,lunch,000000040
2025-01-17 12:33:57,208930000000001,restaurant2,3600,lunch,000000030
2025-01-17 12:34:32,208930000000003,restaurant2,3600,lunch,000000040
2025-01-17 12:34:39,208930000000002,restaurant1,3600,lunch,000000030
2025-01-17 13:36:36,208930000000004,leisure2,7200,lunch,000000060
2025-01-17 13:36:49,208930000000001,leisure2,7200,lunch,000000060
2025-01-17 13:38:39,208930000000003,work,7200,lunch,000000050
2025-01-17 13:39:19,208930000000002,work,7200,lunch,000000030
2025-01-17 14:10:42,208930000000003,leisure2,7200,afternoon,000000050
2025-01-17 14:56:47,208930000000002,leisure2,7200,afternoon,000000050
2025-01-17 14:57:07,208930000000001,work,7200,afternoon,000000030
2025-01-17 15:42:45,208930000000004,work,7200,afternoon,000000030
2025-01-17 17:02:59,208930000000002,work,7200,evening,000000060
2025-01-17 17:33:59,208930000000002,leisure2,7200,evening,000000050
2025-01-17 17:47:16,208930000000004,home,7200,evening,000000040
2025-01-17 17:53:52,208930000000003,leisure1,7200,evening,000000040
2025-01-17 18:51:56,208930000000001,restaurant2,3600,evening,000000030
2025-01-17 19:31:31,208930000000003,gym2,3600,evening,000000030
2025-01-17 19:40:06,208930000000002,gym2,3600,evening,000000030
2025-01-17 19:51:51,208930000000004,restaurant2,3600,evening,000000040
2025-01-17 19:54:28,208930000000001,gym2,3600,evening,000000030
2025-01-17 20:43:30,208930000000002,home,7200,evening,000000060
2025-01-17 20:55:55,208930000000004,home,7200,evening,000000040
2025-01-17 21:01:58,208930000000003,restaurant1,3600,evening,000000030
2025-01-17 21:08:55,208930000000001,restaurant1,3600,evening,000000060
2025-01-17 21:24:54,208930000000002,restaurant1,3600,evening,000000030
2025-01-17 22:04:17,208930000000003,home,7200,evening,000000030
2025-01-17 22:29:33,208930000000002,home,7200,evening,000000040
2025-01-17 22:39:41,208930000000001,leisure1,7200,evening,000000030
2025-01-17 22:59:43,208930000000002,restaurant1,3600,evening,000000030
2025-01-17 23:01:42,208930000000004,leisure2,7200,evening,000000050
2025-01-17 23:06:08,208930000000003,leisure1,7200,evening,000000040
2025-01-18 00:36:15,208930000000002,leisure1,7200,night,000000040
2025-01-18 01:06:38,208930000000004,home,7200,night,000000040
2025-01-18 01:10:51,208930000000003,home,7200,night,000000030
2025-01-18 01:47:39,208930000000003,leisure1,7200,night,000000040
2025-01-18 01:58:32,208930000000001,leisure2,7200,night,000000060
2025-01-18 03:11:13,208930000000004,leisure2,7200,night,000000050
2025-01-18 05:14:53,208930000000003,coffee2,1800,morning,000000050
2025-01-18 05:16:05,208930000000004,coffee2,1800,morning,000000050
2025-01-18 05:17:30,208930000000002,work,7200,morning,000000040
2025-01-18 05:18:22,208930000000001,work,7200,morning,000000030
2025-01-18 05:47:21,208930000000003,gym1,3600,morning,000000050
2025-01-18 05:49:04,208930000000004,work,7200,morning,000000030
2025-01-18 06:50:28,208930000000003,work,7200,morning,000000050
2025-01-18 06:56:39,208930000000001,gym2,3600,morning,000000030
2025-01-18 07:52:34,208930000000004,gym2,3600,morning,000000030
2025-01-18 08:00:46,208930000000001,work,7200,morning,000000040
2025-01-18 08:41:56,208930000000002,coffee1,1800,morning,000000040
2025-01-18 08:45:13,208930000000001,gym1,3600,morning,000000050
2025-01-18 08:54:23,208930000000004,work,7200,morning,000000030
2025-01-18 09:14:58,208930000000002,work,7200,morning,000000050
2025-01-18 09:48:46,208930000000001,work,7200,morning,000000050
2025-01-18 10:22:49,208930000000001,coffee2,1800,morning,000000060
2025-01-18 10:55:18,208930000000001,work,7200,morning,000000060
2025-01-18 10:59:34,208930000000004,gym1,3600,morning,000000040
2025-01-18 11:02:43,208930000000003,restaurant2,3600,lunch,000000040
2025-01-18 12:03:39,208930000000001,restaurant1,3600,lunch,000000060
2025-01-18 12:04:55,208930000000004,work,7200,lunch,000000040
2025-01-18 12:05:20,208930000000003,work,7200,lunch,000000030
2025-01-18 12:59:10,208930000000003,restaurant1,3600,lunch,000000030
2025-01-18 13:11:48,208930000000001,work,7200,lunch,000000040
2025-01-18 14:10:30,208930000000004,leisure2,7200,afternoon,000000060
2025-01-18 14:28:51,208930000000003,leisure2,7200,afternoon,000000050
2025-01-18 16:16:12,208930000000004,work,7200,afternoon,000000030
2025-01-18 16:19:17,208930000000003,work,7200,afternoon,000000040
2025-01-18 18:12:41,208930000000003,leisure1,7200,evening,000000040
2025-01-18 18:19:28,208930000000004,gym2,3600,evening,000000030
2025-01-18 18:47:50,208930000000002,restaurant2,3600,evening,000000040
2025-01-18 19:13:38,208930000000001,restaurant1,3600,evening,000000060
2025-01-18 19:21:49,208930000000004,restaurant1,3600,evening,000000030
2025-01-18 19:49:46,208930000000002,gym2,3600,evening,000000030
2025-01-18 20:16:44,208930000000001,leisure1,7200,evening,000000030
2025-01-18 20:26:18,208930000000003,restaurant1,3600,evening,000000030
2025-01-18 20:26:36,208930000000004,home,7200,evening,000000040
2025-01-18 20:57:15,208930000000002,leisure1,7200,evening,000000040
2025-01-18 21:29:34,208930000000003,leisure2,7200,evening,000000060
2025-01-18 21:43:49,208930000000001,restaurant2,3600,evening,000000030
2025-01-18 21:59:22,208930000000003,restaurant1,3600,evening,000000030
2025-01-18 22:31:59,208930000000004,restaurant1,3600,evening,000000030
2025-01-18 22:44:58,208930000000002,restaurant1,3600,evening,000000030
2025-01-18 22:46:36,208930000000001,home,7200,evening,000000040
2025-01-18 23:03:33,208930000000003,home,7200,evening,000000060
2025-01-18 23:40:10,208930000000004,home,7200,evening,000000040
2025-01-18 23:50:18,208930000000002,leisure2,7200,evening,000000060
2025-01-19 00:07:44,208930000000001,leisure2,7200,night,000000060
2025-01-19 00:18:31,208930000000003,leisure2,7200,night,000000050
2025-01-19 01:16:47,208930000000002,leisure1,7200,night,000000040
2025-01-19 01:43:54,208930000000004,leisure1,7200,night,000000040
2025-01-19 02:22:51,208930000000003,home,7200,night,000000060
2025-01-19 02:59:29,208930000000003,leisure1,7200,night,000000040
2025-01-19 03:48:22,208930000000004,home,7200,night,000000040
2025-01-19 04:55:27,208930000000003,leisure2,7200,night,000000050
2025-01-19 05:07:49,208930000000002,work,7200,morning,000000040
2025-01-19 05:57:55,208930000000004,work,7200,morning,000000040
2025-01-19 06:07:56,208930000000001,coffee2,1800,morning,000000060
2025-01-19 06:30:48,208930000000003,work,7200,morning,000000050
2025-01-19 06:45:17,208930000000001,work,7200,morning,000000040
2025-01-19 08:02:08,208930000000001,coffee1,1800,morning,000000040
2025-01-19 08:03:30,208930000000004,coffee1,1800,morning,000000040
2025-01-19 08:35:06,208930000000001,work,7200,morning,000000050
2025-01-19 08:36:25,208930000000004,work,7200,morning,000000040
2025-01-19 09:02:30,208930000000003,gym1,3600,morning,000000040
2025-01-19 10:06:26,208930000000003,coffee1,1800,morning,000000040
2025-01-19 10:29:20,208930000000001,coffee2,1800,morning,000000060
2025-01-19 10:40:49,208930000000004,coffee2,1800,morning,000000050
2025-01-19 11:02:47,208930000000001,gym2,3600,lunch,000000030
2025-01-19 11:08:54,208930000000002,restaurant1,3600,lunch,000000030
2025-01-19 11:12:31,208930000000004,restaurant2,3600,lunch,000000030
2025-01-19 11:22:51,208930000000003,restaurant2,3600,lunch,000000040
2025-01-19 11:40:19,208930000000002,restaurant2,3600,lunch,000000040
2025-01-19 12:14:14,208930000000001,work,7200,lunch,000000050
2025-01-19 12:16:23,208930000000004,leisure2,7200,lunch,000000060
2025-01-19 12:47:52,208930000000002,work,7200,lunch,000000040
2025-01-19 13:34:21,208930000000003,work,7200,lunch,000000040
2025-01-19 13:46:37,208930000000001,restaurant2,3600,lunch,000000030
2025-01-19 14:05:52,208930000000002,leisure1,7200,afternoon,000000040
2025-01-19 14:21:29,208930000000004,work,7200,afternoon,000000030
2025-01-19 14:49:25,208930000000001,coffee1,1800,afternoon,000000040
2025-01-19 15:43:58,208930000000001,work,7200,afternoon,000000050
2025-01-19 16:25:22,208930000000004,coffee1,1800,afternoon,000000040
2025-01-19 16:40:49,208930000000002,leisure2,7200,afternoon,000000050
2025-01-19 16:58:32,208930000000004,work,7200,afternoon,000000040
2025-01-19 17:26:09,208930000000001,restaurant1,3600,evening,000000060
2025-01-19 18:30:45,208930000000001,leisure1,7200,evening,000000030
2025-01-19 19:03:10,208930000000002,gym1,3600,evening,000000040
2025-01-19 19:05:12,208930000000004,leisure2,7200,evening,000000060
2025-01-19 19:18:12,208930000000003,leisure2,7200,evening,000000050
2025-01-19 19:26:27,208930000000001,gym1,3600,evening,000000050
2025-01-19 20:08:55,208930000000002,restaurant2,3600,evening,000000040
2025-01-19 20:28:20,208930000000001,home,7200,evening,000000050
2025-01-19 20:43:19,208930000000002,gym2,3600,evening,000000030
2025-01-19 21:05:12,208930000000003,gym2,3600,evening,000000030
2025-01-19 21:13:24,208930000000004,gym2,3600,evening,000000030
2025-01-19 21:45:28,208930000000002,restaurant1,3600,evening,000000030
2025-01-19 22:04:20,208930000000001,gym1,3600,evening,000000050
2025-01-19 22:09:50,208930000000003,home,7200,evening,000000040
2025-01-19 22:16:09,208930000000004,leisure1,7200,evening,000000030
2025-01-19 23:12:18,208930000000001,leisure2,7200,evening,000000050
2025-01-19 23:16:59,208930000000002,gym2,3600,evening,000000030
2025-01-19 23:40:16,208930000000003,gym2,3600,evening,000000030
2025-01-20 00:19:11,208930000000002,home,7200,night,000000030
2025-01-20 00:20:23,208930000000004,home,7200,night,000000040
2025-01-20 00:43:03,208930000000003,home,7200,night,000000050
2025-01-20 00:58:22,208930000000002,leisure1,7200,night,000000040
2025-01-20 01:48:07,208930000000003,leisure1,7200,night,000000040
2025-01-20 02:23:40,208930000000004,leisure1,7200,night,000000040
2025-01-20 03:52:36,208930000000003,home,7200,night,000000050
2025-01-20 04:27:06,208930000000004,home,7200,night,000000040
2025-01-20 04:28:56,208930000000003,leisure1,7200,night,000000040
2025-01-20 04:43:15,208930000000002,leisure2,7200,night,000000050
2025-01-20 06:06:40,208930000000003,coffee1,1800,morning,000000040
2025-01-20 06:31:15,208930000000004,coffee1,1800,morning,000000040
2025-01-20 06:45:11,208930000000003,work,7200,morning,000000030
2025-01-20 07:00:25,208930000000001,coffee2,1800,morning,000000060
2025-01-20 07:02:29,208930000000004,home,7200,morning,000000040
2025-01-20 07:07:15,208930000000002,work,7200,morning,000000040
2025-01-20 07:33:13,208930000000001,gym2,3600,morning,000000030
2025-01-20 08:42:50,208930000000001,work,7200,morning,000000050
2025-01-20 09:08:41,208930000000004,work,7200,morning,000000040
2025-01-20 09:49:22,208930000000003,coffee2,1800,morning,000000060
2025-01-20 10:26:09,208930000000003,coffee1,1800,morning,000000040
2025-01-20 10:37:20,208930000000001,gym2,3600,morning,000000030
2025-01-20 11:00:49,208930000000003,gym2,3600,lunch,000000030
2025-01-20 11:11:52,208930000000004,restaurant2,3600,lunch,000000030
2025-01-20 11:12:22,208930000000002,restaurant2,3600,lunch,000000040
2025-01-20 11:39:09,208930000000001,restaurant1,3600,lunch,000000030
2025-01-20 12:13:43,208930000000004,work,7200,lunch,000000030
2025-01-20 12:15:11,208930000000002,leisure1,7200,lunch,000000040
2025-01-20 12:24:23,208930000000003,work,7200,lunch,000000050
2025-01-20 13:17:53,208930000000002,work,7200,lunch,000000040
2025-01-20 13:55:06,208930000000001,work,7200,lunch,000000040
