time,NrCellId,supi,tac
2025-01-17 11:58:33.317537098,000000040,208930000000004,000003
2025-01-17 11:59:30.654036986,000000030,208930000000004,000004
2025-01-17 12:24:27.710154475,000000040,208930000000004,000003
2025-01-17 12:33:33.137698813,000000040,208930000000003,000003
2025-01-17 12:33:33.188841449,000000050,208930000000001,000002
2025-01-17 12:33:33.285832687,000000040,208930000000002,000003
2025-01-17 12:33:40.574396473,000000030,208930000000001,000004
2025-01-17 12:33:55.573234629,000000030,208930000000002,000004
2025-01-17 13:35:14.413639031,000000030,208930000000004,000004
2025-01-17 13:35:44.421704374,000000060,208930000000004,000001
2025-01-17 13:35:54.558210285,000000060,208930000000001,000001
2025-01-17 13:38:34.621569209,000000050,208930000000003,000002
2025-01-17 14:09:06.493513374,000000040,208930000000003,000003
2025-01-17 14:09:38.805285615,000000050,208930000000003,000002
2025-01-17 14:29:18.549760160,000000040,208930000000002,000003
2025-01-17 14:55:54.062025246,000000050,208930000000002,000002
2025-01-17 14:56:08.350201852,000000030,208930000000001,000004
2025-01-17 15:40:33.109093283,000000040,208930000000003,000003
2025-01-17 15:41:35.445780618,000000050,208930000000003,000002
2025-01-17 15:42:04.956337108,000000030,208930000000004,000004
2025-01-17 16:31:53.863077866,000000040,208930000000001,000003
2025-01-17 17:01:24.572882629,000000060,208930000000002,000001
2025-01-17 17:31:59.839752760,000000040,208930000000002,000003
2025-01-17 17:32:27.157665951,000000050,208930000000002,000002
2025-01-17 17:46:40.445718355,000000040,208930000000004,000003
2025-01-17 17:52:47.245924103,000000040,208930000000003,000003
2025-01-17 18:51:10.758613725,000000060,208930000000001,000001
2025-01-17 18:51:48.101666991,000000030,208930000000001,000004
2025-01-17 19:30:59.926263962,000000030,208930000000003,000004
2025-01-17 19:37:39.446355038,000000040,208930000000002,000003
2025-01-17 19:38:59.286201715,000000030,208930000000002,000004
2025-01-17 20:43:10.821958733,000000060,208930000000002,000001
2025-01-17 20:58:38.349821443,000000040,208930000000003,000003
