timestamp,active_UEs,duration
2025-02-06 08:35:14,3,0 days 00:15:00
2025-02-06 08:50:14,4,0 days 00:30:00
2025-02-06 09:20:14,3,0 days 00:05:00
2025-02-06 09:25:14,2,0 days 00:15:00
2025-02-06 09:40:14,3,0 days 01:10:00
2025-02-06 10:50:14,2,0 days 00:05:00
2025-02-06 10:55:14,3,0 days 00:30:00
2025-02-06 11:25:14,4,0 days 00:15:00
2025-02-06 11:40:14,3,0 days 00:40:00
2025-02-06 12:20:14,2,0 days 00:05:00
2025-02-06 12:25:14,3,0 days 00:15:00
2025-02-06 12:40:14,4,0 days 00:45:00
2025-02-06 13:25:14,3,0 days 00:35:00
2025-02-06 14:00:14,2,0 days 00:10:00
2025-02-06 14:10:14,3,0 days 00:20:00
2025-02-06 14:30:14,2,0 days 00:05:00
2025-02-06 14:35:14,4,0 days 01:35:00
2025-02-06 16:10:14,3,0 days 00:20:00
2025-02-06 16:30:14,2,0 days 00:10:00
2025-02-06 16:40:14,1,0 days 00:10:00
2025-02-06 16:50:14,2,0 days 00:25:00
2025-02-06 17:15:14,3,0 days 00:10:00
2025-02-06 17:25:14,4,0 days 00:25:00
2025-02-06 17:50:14,3,0 days 00:45:00
2025-02-06 18:35:14,2,0 days 00:10:00
2025-02-06 18:45:14,3,0 days 00:10:00
2025-02-06 18:55:14,4,0 days 00:05:00
2025-02-06 19:00:14,2,0 days 00:35:00
2025-02-06 19:35:14,4,0 days 01:45:00
2025-02-06 21:20:14,3,0 days 00:10:00
2025-02-06 21:30:14,2,0 days 00:05:00
2025-02-06 21:35:14,3,0 days 00:15:00
2025-02-06 21:50:14,2,0 days 00:05:00
2025-02-06 21:55:14,3,0 days 00:15:00
2025-02-06 22:10:14,4,0 days 00:20:00
2025-02-06 22:30:14,3,0 days 00:15:00
2025-02-06 22:45:14,4,0 days 00:05:00
2025-02-06 22:50:14,3,0 days 00:10:00
2025-02-06 23:00:14,2,0 days 00:20:00
2025-02-06 23:20:14,1,0 days 00:30:00
2025-02-06 23:50:14,2,0 days 00:05:00
2025-02-06 23:55:14,3,0 days 00:15:00
2025-02-07 00:10:14,4,0 days 01:25:00
2025-02-07 01:35:14,3,0 days 00:55:00
2025-02-07 02:30:14,4,0 days 00:05:00
2025-02-07 02:35:14,3,0 days 00:25:00
2025-02-07 03:00:14,2,0 days 00:25:00
2025-02-07 03:25:14,3,0 days 00:10:00
2025-02-07 03:35:14,4,0 days 00:20:00
2025-02-07 03:55:14,3,0 days 00:10:00
2025-02-07 04:05:14,4,0 days 00:45:00
2025-02-07 04:50:14,3,0 days 00:20:00
2025-02-07 05:10:14,4,0 days 00:45:00
2025-02-07 05:55:14,3,0 days 00:10:00
2025-02-07 06:05:14,2,0 days 00:10:00
2025-02-07 06:15:14,1,0 days 00:15:00
2025-02-07 06:30:14,2,0 days 00:30:00
2025-02-07 07:00:14,4,0 days 00:15:00
2025-02-07 07:15:14,3,0 days 00:40:00
2025-02-07 07:55:14,4,0 days 00:30:00
2025-02-07 08:25:14,3,0 days 00:15:00
2025-02-07 08:40:14,4,0 days 00:30:00
2025-02-07 09:10:14,3,0 days 00:05:00
2025-02-07 09:15:14,2,0 days 00:35:00
2025-02-07 09:50:14,3,0 days 00:15:00
2025-02-07 10:05:14,4,0 days 00:10:00
2025-02-07 10:15:14,3,0 days 00:15:00
2025-02-07 10:30:14,2,0 days 00:20:00
2025-02-07 10:50:14,3,0 days 00:10:00
2025-02-07 11:00:14,4,0 days 00:20:00
2025-02-07 11:20:14,3,0 days 00:30:00
2025-02-07 11:50:14,4,0 days 00:45:00
2025-02-07 12:35:14,3,0 days 00:10:00
2025-02-07 12:45:14,2,0 days 00:10:00
2025-02-07 12:55:14,1,0 days 00:15:00
2025-02-07 13:10:14,2,0 days 00:35:00
2025-02-07 13:45:14,3,0 days 00:20:00
2025-02-07 14:05:14,4,0 days 00:35:00
2025-02-07 14:40:14,3,0 days 00:25:00
2025-02-07 15:05:14,4,0 days 01:00:00
2025-02-07 16:05:14,3,0 days 00:25:00
2025-02-07 16:30:14,4,0 days 00:10:00
2025-02-07 16:40:14,3,0 days 00:20:00
2025-02-07 17:00:14,4,0 days 00:35:00
2025-02-07 17:35:14,3,0 days 00:10:00
2025-02-07 17:45:14,4,0 days 00:55:00
2025-02-07 18:40:14,3,0 days 00:15:00
2025-02-07 18:55:14,4,0 days 00:20:00
2025-02-07 19:15:14,3,0 days 00:40:00
2025-02-07 19:55:14,4,0 days 00:20:00
2025-02-07 20:15:14,3,0 days 00:45:00
2025-02-07 21:00:14,2,0 days 00:30:00
2025-02-07 21:30:14,3,0 days 00:20:00
2025-02-07 21:50:14,4,0 days 00:05:00
2025-02-07 21:55:14,3,0 days 01:10:00
2025-02-07 23:05:14,4,0 days 00:05:00
2025-02-07 23:10:14,3,0 days 00:45:00
2025-02-07 23:55:14,4,0 days 01:10:00
2025-02-08 01:05:14,3,0 days 00:05:00
2025-02-08 01:10:14,2,0 days 00:05:00
2025-02-08 01:15:14,4,0 days 00:15:00
2025-02-08 01:30:14,3,0 days 00:35:00
2025-02-08 02:05:14,2,0 days 00:05:00
2025-02-08 02:10:14,3,0 days 00:25:00
2025-02-08 02:35:14,2,0 days 00:05:00
2025-02-08 02:40:14,3,0 days 00:35:00
2025-02-08 03:15:14,2,0 days 00:20:00
2025-02-08 03:35:14,3,0 days 00:40:00
2025-02-08 04:15:14,4,0 days 00:05:00
2025-02-08 04:20:14,3,0 days 00:50:00
2025-02-08 05:10:14,4,0 days 00:10:00
2025-02-08 05:20:14,3,0 days 00:20:00
2025-02-08 05:40:14,2,0 days 00:20:00
2025-02-08 06:00:14,3,0 days 00:25:00
