time,supi,location_type,duration,time_of_day,NrCellId
2025-02-03 11:16:59,208930000000004,work,8729,lunch,000000050
2025-02-03 14:58:19,208930000000004,leisure2,7359,afternoon,000000050
2025-02-03 17:42:15,208930000000004,restaurant1,3641,evening,000000060
2025-02-03 18:54:10,208930000000004,gym2,3971,evening,000000030
2025-02-03 20:10:40,208930000000004,restaurant1,3474,evening,000000030
2025-02-03 21:45:38,208930000000004,home,8307,evening,000000040
2025-02-04 00:33:12,208930000000004,leisure2,8570,night,000000050
2025-02-04 03:20:01,208930000000004,home,9277,night,000000050
2025-02-04 06:11:08,208930000000004,coffee2,1272,morning,000000050
2025-02-04 06:39:42,208930000000004,work,7317,morning,000000050
2025-02-04 08:50:37,208930000000004,coffee2,3610,morning,000000050
2025-02-04 10:02:17,208930000000004,work,6427,morning,000000050
2025-02-04 12:08:22,208930000000004,restaurant2,4138,lunch,000000030
2025-02-04 13:51:18,208930000000004,leisure2,6891,lunch,000000060
2025-02-04 15:59:16,208930000000004,coffee2,1333,afternoon,000000060
2025-02-04 16:58:23,208930000000004,leisure1,4693,afternoon,000000040
2025-02-04 18:37:57,208930000000004,restaurant2,438,evening,000000040
2025-02-04 19:15:30,208930000000004,leisure2,7671,evening,000000060
2025-02-04 22:03:25,208930000000004,gym2,4242,evening,000000030
2025-02-04 23:43:43,208930000000004,home,5790,evening,000000040
2025-02-05 01:53:01,208930000000004,leisure2,9627,night,000000050
2025-02-05 04:54:58,208930000000004,home,8154,night,000000050
2025-02-05 07:39:05,208930000000004,work,6358,morning,000000050
2025-02-05 09:46:56,208930000000004,home,6614,morning,000000050
2025-02-05 11:57:12,208930000000004,work,8138,lunch,000000050
2025-02-05 14:30:52,208930000000004,leisure2,5811,afternoon,000000050
2025-02-05 16:24:33,208930000000004,work,7122,afternoon,000000050
2025-02-05 18:49:43,208930000000004,home,6218,evening,000000050
2025-02-05 20:43:51,208930000000004,gym1,4205,evening,000000050
2025-02-05 22:33:59,208930000000004,restaurant1,2673,evening,000000030
2025-02-05 23:32:39,208930000000004,gym2,3942,evening,000000030
2025-02-06 01:00:38,208930000000004,home,9607,night,000000040
2025-02-06 04:08:08,208930000000004,leisure2,10219,night,000000050
2025-02-06 07:24:12,208930000000001,coffee1,3231,morning,000000040
